fold,train_start,train_end,test_start,test_end,n_train,n_test,baseline_rate,test_positive_rate,brier_model,brier_baseline,brier_rel_improvement,accuracy_model,accuracy_baseline,logloss_model,logloss_baseline
1980,1962-02-28,1979-01-31,1980-01-31,1980-12-31,204,12,0.598039,0.5,0.434602,0.259612,-0.674045,0.25,0.5,1.262937,0.71275
1981,1962-02-28,1980-01-31,1981-01-31,1981-12-31,216,12,0.611111,0.25,0.306165,0.317901,0.036917,0.333333,0.25,0.802419,0.831465
1982,1962-02-28,1981-01-31,1982-01-31,1982-12-31,228,12,0.600877,1.0,0.024765,0.159299,0.844537,1.0,1.0,0.169376,0.509365
1983,1962-02-28,1982-01-31,1983-01-31,1983-12-31,240,12,0.5875,0.166667,0.105904,0.31599,0.66485,0.916667,0.166667,0.370781,0.826579
1984,1962-02-28,1983-01-31,1984-01-31,1984-12-31,252,12,0.607143,0.916667,0.401859,0.172194,-1.333761,0.25,0.916667,1.045688,0.535268
1985,1962-02-28,1984-01-31,1985-01-31,1985-12-31,264,12,0.583333,1.0,0.243205,0.173611,-0.400862,0.583333,1.0,0.679533,0.538997
1986,1962-02-28,1985-01-31,1986-01-31,1986-12-31,276,12,0.601449,0.833333,0.317866,0.192659,-0.64989,0.166667,0.833333,0.831188,0.576998
1987,1962-02-28,1986-01-31,1987-01-31,1987-12-31,288,12,0.618056,0.166667,0.225136,0.342641,0.342939,0.583333,0.166667,0.636585,0.882263
1988,1962-02-28,1987-01-31,1988-01-31,1988-12-31,300,12,0.623333,1.0,0.066776,0.141878,0.529342,1.0,1.0,0.291958,0.472674
1989,1962-02-28,1988-01-31,1989-01-31,1989-12-31,312,12,0.608974,0.583333,0.240831,0.243713,0.011826,0.666667,0.583333,0.674679,0.680564
1990,1962-02-28,1989-01-31,1990-01-31,1990-12-31,324,12,0.623457,0.916667,0.115986,0.162361,0.285626,1.0,0.916667,0.39667,0.514496
1991,1962-02-28,1990-01-31,1991-01-31,1991-12-31,336,12,0.619048,1.0,0.028815,0.145125,0.801447,1.0,1.0,0.170625,0.479573
1992,1962-02-28,1991-01-31,1992-01-31,1992-12-31,348,12,0.632184,1.0,0.013398,0.135289,0.900964,1.0,1.0,0.116585,0.458575
1993,1962-02-28,1992-01-31,1993-01-31,1993-12-31,360,12,0.644444,0.75,0.169641,0.198642,0.145996,0.75,0.75,0.509583,0.588043
1994,1962-02-28,1993-01-31,1994-01-31,1994-12-31,372,12,0.655914,0.916667,0.080801,0.144381,0.440359,0.916667,0.916667,0.305989,0.475487
1995,1962-02-28,1994-01-31,1995-01-31,1995-12-31,384,12,0.65625,1.0,0.149835,0.118164,-0.268029,0.916667,1.0,0.484884,0.421213
1996,1962-02-28,1995-01-31,1996-01-31,1996-12-31,396,12,0.666667,1.0,0.143648,0.111111,-0.292832,0.916667,1.0,0.472014,0.405465
1997,1962-02-28,1996-01-31,1997-01-31,1997-12-31,408,12,0.676471,1.0,0.115786,0.104671,-0.106184,0.916667,1.0,0.406439,0.390866
1998,1962-02-28,1997-01-31,1998-01-31,1998-12-31,420,12,0.685714,1.0,0.073424,0.098776,0.256656,1.0,1.0,0.307111,0.377294
1999,1962-02-28,1998-01-31,1999-01-31,1999-12-31,432,12,0.694444,0.833333,0.143762,0.158179,0.091142,0.833333,0.833333,0.470103,0.501473
2000,1962-02-28,1999-01-31,2000-01-31,2000-12-31,444,12,0.702703,0.0,0.841843,0.493791,-0.704857,0.0,0.0,2.5459,1.213023
2001,1962-02-28,2000-01-31,2001-01-31,2001-12-31,456,12,0.703947,0.0,0.91944,0.495542,-0.855424,0.0,0.0,3.511957,1.217218
2002,1962-02-28,2001-01-31,2002-01-31,2002-12-31,468,12,0.685897,0.5,0.480653,0.284558,-0.689121,0.5,0.5,1.946825,0.767531
2003,1962-02-28,2002-01-31,2003-01-31,2003-12-31,480,12,0.66875,1.0,0.029427,0.109727,0.731813,1.0,1.0,0.186585,0.402345
2004,1962-02-28,2003-01-31,2004-01-31,2004-12-31,492,12,0.666667,1.0,0.066937,0.111111,0.397569,1.0,1.0,0.298527,0.405465
2005,1962-02-28,2004-01-31,2005-01-31,2005-12-31,504,12,0.674603,1.0,0.130124,0.105883,-0.228939,1.0,1.0,0.44558,0.393631
2006,1962-02-28,2005-01-31,2006-01-31,2006-12-31,516,12,0.682171,1.0,0.200978,0.101016,-0.989573,0.916667,1.0,0.59449,0.382476
2007,1962-02-28,2006-01-31,2007-01-31,2007-12-31,528,12,0.689394,0.0,0.377773,0.475264,0.20513,0.0,0.0,0.957771,1.16923
2008,1962-02-28,2007-01-31,2008-01-31,2008-12-31,540,12,0.694444,0.25,0.497602,0.385031,-0.29237,0.25,0.25,1.295148,0.980379
2009,1962-02-28,2008-01-31,2009-01-31,2009-12-31,552,12,0.679348,1.0,0.005677,0.102818,0.944785,1.0,1.0,0.075521,0.386622
POOLED,1962-02-28,2008-01-31,1980-01-31,2009-12-31,,360,0.648078,0.719444,0.231755,0.212031,-0.093025,0.688889,0.719444,0.742115,0.616578
